atclNo,cortarNo,atclNm,atclStatCd,rletTpCd,uprRletTpCd,rletTpNm,tradTpCd,tradTpNm,vrfcTpCd,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,minute,sameAddrCnt,sameAddrDirectCnt,cpid,cpNm,cpCnt,rltrNm,directTradYn,minMviFee,maxMviFee,etRoomCnt,tradePriceHan,tradeRentPrice,tradeCheckedByOwner,cpLinkVO,dtlAddrYn,dtlAddr,sameAddrHash,sameAddrMaxPrc,sameAddrMinPrc,sellrNm,repImgUrl,repImgTpCd,repImgThumb
2426760175,1135010500,한신2차,R0,A01,A01,아파트,A1,매매,OWNER,1/15,31000,0,"3억 1,000",64,45.92,남향,24.05.31.,37.6651,127.06823,올수리된집.세안고 .투자하기 좋은집입니다.,"['25년이상', '올수리', '1층', '방두개']",6동,0,2,0,SERVE,부동산써브,2,하나공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,26A01A1Nd39c2cf1b45184fbcaece6c9045ffd88279070f2ba45082405c40e87504163d7,"3억 1,000","3억 1,000",,,,
2426729789,1135010500,은빛1단지,R0,A01,A01,아파트,A1,매매,OWNER,9/15,43000,0,"4억 3,000",68,49.77,남향,24.05.31.,37.680971,127.054473,"생활권좋은대단지이며 로얄동 로얄층, 전세안고매매입니다.","['25년이상', '역세권', '대단지', '방두개']",101동,0,3,0,sunbang,선방,2,도깨비공인중개사,N,0,0,0,,0,False,"{'cpId': 'sunbang', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,26A01A1Nc680e392e477273a5b620f86c71be564dfab60bf713622bff0c1ab0c07ac9983,"4억 3,000","4억 3,000",,,,
2426731543,1135010500,포레나노원,R0,A01,A01,아파트,A1,매매,OWNER,15/16,89000,0,"8억 9,000",81,59.94,남동향,24.05.31.,37.664949,127.061649,7호선마들역세권신축 정상입주 집주인거주 AC4 환상뷰 펜트리 발코니수납장,"['4년이내', '역세권', '대단지', '방세개']",101동,0,7,0,bizmk,매경부동산,3,포레나에이스(937-0077)공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,24A01A1N1c0e7c3b8beff49b25ddcbb83e3bd3ec60fcb9f04ba892cda4ddac5a11e1c7ca,"8억 9,000","8억 9,000",,,,
2426749664,1135010500,보람,R0,A01,A01,아파트,A1,매매,OWNER,10/15,48000,0,"4억 8,000",77,54.59,남향,24.05.31.,37.662177,127.063665,노원역가까운동.남향.수리된집.정상입주가능한 집입니다.,"['25년이상', '대단지', '방두개', '화장실한개']",109동,0,2,0,bizmk,매경부동산,2,하나공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,27A01A1Ncf1bd6ca33feeb2aabf6165ac4ae1ccde0e5b416009849e0b8616adb6d568f0c,"4억 8,000","4억 8,000",,,,
2426764364,1135010500,한신1차,R0,A01,A01,아파트,A1,매매,OWNER,14/15,44000,0,"4억 4,000",75,53.96,남향,24.05.31.,37.666153,127.068568,올수리된집.세안고.투자가능한 집입니다.,"['25년이상', '올수리', '방두개', '화장실한개']",3동,0,6,0,bizmk,매경부동산,4,하나공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,26A01A1N4164f51a160e2f944be2127400fead5fff7b5a225c2f5dd963105401ba3a31a7,"4억 4,500","4억 4,000",,,,
2426729114,1135010500,은빛2단지,R0,A01,A01,아파트,A1,매매,OWNER,3/15,33000,0,"3억 3,000",53,39.7,북향,24.05.31.,37.68044,127.053402,전세안고매매로 추천합니다.,"['25년이상', '역세권', '대단지', '소형평수']",207동,0,1,0,sunbang,선방,1,도깨비공인중개사,N,0,0,0,,0,False,"{'cpId': 'sunbang', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,,,,,
2426744140,1135010500,두산,R0,A01,A01,아파트,A1,매매,OWNER,3/15,50000,0,5억,80,58.65,남향,24.05.31.,37.677809,127.052268,T 02 951 7272 역세권의 복덩이 효자 급매물 입니다,"['25년이상', '역세권', '급매']",103동,0,2,0,SERVE,부동산써브,2,우성공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,25A01A1N5101e7eb0b2c9bb37683bae2ddcbaa387eece8767762a93db68de3e57dfaebd0,5억,5억,,/20240531_222/land_naver_1717137350215lUfQL_JPEG/20240410_150632.jpg,10,f130_98
2426730457,1135010500,은빛1단지,R0,A01,A01,아파트,A1,매매,OWNER,11/15,53000,0,"5억 3,000",82,59.95,동향,24.05.31.,37.681138,127.053915,"초역세권,생활권좋은아파트, 샷시포함올수리집입니다.","['25년이상', '올수리', '역세권', '대단지']",105동,0,9,0,sunbang,선방,5,도깨비공인중개사,N,0,0,0,,0,False,"{'cpId': 'sunbang', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,27A01A1Nbb25cb0edc85b9476cb7d94ab4f3a90f16201a3c9af1cd8b1d568e4922c42a6d,"5억 3,000","5억 3,000",,,,
2426749700,1135010500,보람,R0,A01,A01,아파트,A1,매매,OWNER,4/15,60000,0,6억,94,68.99,남향,24.05.31.,37.665028,127.064117,인기초입동.기본수리된집.정상입주가능한 집입니다.,"['25년이상', '대단지', '방세개', '화장실한개']",201동,0,5,0,bizmk,매경부동산,3,하나공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,25A01A1N6d31d8e5346c1a80e685eeeaf9d2aea96cfc11cdd9a8472e99778d865a047024,6억,6억,,,,
2426748206,1135010500,보람,R0,A01,A01,아파트,A1,매매,OWNER,4/15,61000,0,"6억 1,000",94,68.99,남향,24.05.31.,37.665353,127.065371,"인기동,라인굿.올수리.정상입주가능한 집입니다.","['25년이상', '올수리', '대단지', '방세개']",202동,0,2,0,bizmk,매경부동산,2,하나공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,25A01A1N30655ee622fc3ec619ef38f13e85dbc49b8de909c371a61f0cbdb736e519ff59,"6억 1,000","6억 1,000",,,,
